SampleID,SampleNumber
M0870_1E_1A,FE01247
M0889_1E_1A,FE01248
M0891_1E_1A,FE01249
C0516_2E_1A,FE01250
M0753_3E_1A,FE01251
M0780_3E_1A,FE01252
M0780_3E_2A,FE01252
C0861_1E_1A,FE01253
M0896_1E_1A,FE01254
M0893_1E_1A,FE01255
C0852_1E_1A,FE01256
M0883_1E_1A,FE01257
C0530_2E_1A,FE01258
M0900_1E_1A,FE01259
C0802_1E_1A,FE01260
C0537_2E_1A,FE01261
M0790_3E_1A,FE01262
M0908_1E_1A,FE01263
M0884_2E_1A,FE01264
M0863_2E_1A,FE01265
M0867_2E_1A,FE01266
C0723_3E_1A,FE01267
C0479_4E_1A,FE01268
C0754_2E_1A,FE01269
M0839_3E_1A,FE01270
M0913_1E_1A,FE01271
M0880_2E_1A,FE01272
C0277_2E_1A,FE01273
M0882_2E_1A,FE01274
C0887_1E_1A,FE01275
M0928_1E_1A,FE01276
C0925_1E_1A,FE01277
M0847_2E_1A,FE01278
C0426_5E_1A,FE01279
C0930_1E_1A,FE01280
M0854_2E_1A,FE01281
M0881_2E_1A,FE01282
C0652_4E_1A,FE01283
C0512_2E_1A,FE01284
M0907_2E_1A,FE01285
C0506_2E_1A,FE01286
C0505_2E_1A,FE01287
C0524_3E_1A,FE01288
C0547_2E_1A,FE01289
C0124_3E_1A,FE01290
C0556_2E_1A,FE01291
C0672_2E_1A,FE01292
M0915_1E_1A,FE01293
M0932_1E_1A,FE01294
M0855_1E_1A,FE01296
M0901_2E_1A,FE01297
M0883_2E_1A,FE01298
M0888_2E_1A,FE01299
M0892_2E_1A,FE01300
M0929_1E_1A,FE01301
M0926_1E_1A,FE01302
C0062_7E_1A,FE01303
M0918_2E_1A,FE01304
M0904_2E_1A,FE01305
M0927_2E_1A,FE01306
M0893_2E_1A,FE01307
C0460_4E_1A,FE01308
M0896_2E_1A,FE01309
C0920_1E_1A,FE01310
C0921_1E_1A,FE01311
C0649_2E_1A,FE01313
C0684_4E_1A,FE01314
C0253_7E_1A,FE01315
C0252_7E_1A,FE01316
M0908_2E_1A,FE01317
C0557_1E_1A,FE01318
M0886_2E_1A,FE01319
M0958_1E_1A,FE01320
M0870_3E_1A,FE01321
M0910_2E_1A,FE01322
M0914_2E_1A,FE01323
C0325_5E_1A,FE01324
C0043_8E_1A,FE01325
M0917_2E_1A,FE01326
M0964_1E_1A,FE01327
C0692_3E_1A,FE01328
M0863_3E_1A,FE01329
M0880_2E_2A,FE01330
M0884_3E_1A,FE01331
C0495_2E_1A,FE01332
C0699_4E_1A,FE01333
M0971_1E_1A,FE01334
C0682_3E_1A,FE01335
M0947_1E_1A,FE01336
C0902_1E_1A,FE01337
C0526_2E_1A,FE01338
M0864_3E_1A,FE01339
C0711_4E_1A,FE01340
C0576_2E_1A,FE01341
C0575_2E_1A,FE01342
M0894_2E_1A,FE01343
C0654_2E_1A,FE01344
M0890_3E_1A,FE01345
M0926_2E_1A,FE01346
M0922_2E_1A,FE01347
M0934_2E_1A,FE01348
M0973_1E_1A,FE01349
C0742_3E_1A,FE01350
M0932_2E_1A,FE01351
C0647_4E_1A,FE01352
C0633_2E_1A,FE01353
M0892_3E_1A,FE01354
M0919_2E_1A,FE01355
M0996_1E_1A,FE01356
M0960_1E_1A,FE01357
C0703_4E_1A,FE01358
M0989_1E_1A,FE01359
M0881_3E_1A,FE01360
M0883_3E_1A,FE01361
C0661_2E_1A,FE01362
M0998_1E_1A,FE01363
C0541_2E_1A,FE01364
M0891_3E_2A,FE01365
M0891_3E_1A,FE01366
M1008_1E_1A,FE01367
C0739_2E_1A,FE01368
M0999_1E_1A,FE01369
C0713_4E_1A,FE01370
C0571_2E_1A,FE01371
M1007_1E_1A,FE01372
C2014_3E_1A,FE01373
M0913_2E_1A,FE01374
M0948_2E_1A,FE01375
M0888_3E_1A,FE01376
M1016_1E_1A,FE01377
M0950_2E_1A,FE01378
M0947_2E_1A,FE01379
C1034_1E_1A,FE01380
M1027_1E_1A,FE01381
M0980_2E_1A,FE01382
C0402_3E_1A,FE01383
M0886_3E_1A,FE01384
C0752_4E_1A,FE01385
M1015_1E_1A,FE01386
C0744_4E_1A,FE01387
C0348_3E_1A,FE01388
C0192_4E_1A,FE01389
C0175_2E_1A,FE01390
C0674_3E_1A,FE01391
M0896_3E_1A,FE01392
M0918_3E_1A,FE01393
M1028_1E_1A,FE01394
C0754_3E_1A,FE01395
M0958_2E_1A,FE01396
M1005_2E_1A,FE01397
M0961_2E_1A,FE01398
C0539_2E_1A,FE01399
C0603_4E_1A,FE01401
M1046_1E_1A,FE01402
C0229_5E_1A,FE01403
C0643_2E_1A,FE01404
C0550_3E_1A,FE01405
M0973_2E_1A,FE01406
C1009_1E_1A,FE01407
M1008_2E_1A,FE01408
M1037_2E_1A,FE01409
C0660_2E_1A,FE01410
M0961_3E_1A,FE01411
M0996_2E_1A,FE01412
M0958_3E_1A,FE01413
M1047_2E_1A,FE01414
M1066_1E_1A,FE01415
M1068_1E_1A,FE01416
M1065_1E_1A,FE01417
M1015_2E_1A,FE01418
M1056_1E_1A,FE01419
M0984_2E_1A,FE01420
M1060_1E_1A,FE01421
C0711_5E_1A,FE01422
M1064_1E_1A,FE01423
M1074_1E_1A,FE01424
C0834_4E_1A,FE01425
M1061_2E_1A,FE01426
M1086_1E_1A,FE01427
M1056_2E_1A,FE01428
C0692_4E_1A,FE01429
C0851_4E_1A,FE01430
M1079_1E_1A,FE01431
C0788_2E_1A,FE01432
C0828_4E_1A,FE01433
C0789_2E_1A,FE01434
M1064_2E_1A,FE01435
M0973_3E_1A,FE01436
M1115_1E_1A,FE01437
M1087_1E_1A,FE01438
M1095_1E_1A,FE01439
M1082_1E_1A,FE01440
C0839_4E_1A,FE01441
C1062_3E_1A,FE01442
C0936_1E_1A,FE01443
C0461_4E_1A,FE01444
M1057_1E_1A,FE01445
M1059_1E_1A,FE01446
M1110_1E_1A,FE01447
C2029_4E_1A,FE01448
M1083_1E_1A,FE01449
M1008_3E_1A,FE01450
C0388_7E_1A,FE01451
M1096_1E_1A,FE01452
M1088_1E_1A,FE01453
M1078_1E_1A,FE01454
M1022_2E_1A,FE01455
C1089_1E_1A,FE01456
C1075_1E_1A,FE01457
M1109_1E_1A,FE01458
C1102_1E_1A,FE01459
C1026_1E_1A,FE01460
C2018_4E_1A,FE01461
M1113_1E_1A,FE01462
C1090_1E_1A,FE01463
M1067_1E_1A,FE01464
M1116_1E_1A,FE01465
C0698_2E_1A,FE01466
C0634_3E_1A,FE01467
C0661_3E_1A,FE01468
C0672_3E_1A,FE01469
M1124_1E_1A,FE01470
M1097_1E_1A,FE01471
C0586_2E_1A,FE01472
M1096_2E_1A,FE01473
M1058_2E_1A,FE01474
C0514_2E_1A,FE01475
M1086_2E_1A,FE01476
C0642_2E_1A,FE01477
C0915_3E_1A,FE01478
C0537_3E_1A,FE01479
M1050_1E_1A,FE01480
M1142_1E_1A,FE01481
C0871_2E_1A,FE01482
C1136_1E_1A,FE01483
M1147_1E_1A,FE01484
M1066_2E_1A,FE01485
M1087_2E_1A,FE01486
C0880_4E_1A,FE01487
M1170_1E_1A,FE01488
C0202_7E_1A,FE01489
M1140_1E_1A,FE01490
M1091_1E_1A,FE01491
M1060_2E_1A,FE01492
M1145_1E_1A,FE01493
M1150_1E_1A,FE01494
M1082_2E_1A,FE01495
M1043_3E_1A,FE01496
C0879_2E_1A,FE01497
M1103_2E_1A,FE01498
C0932_3E_1A,FE01499
M1118_1E_1A,FE01500
C1171_1E_1A,FE01501
M1160_1E_1A,FE01502
C0855_4E_1A,FE01503
C0456_4E_1A,FE01504
M1061_3E_1A,FE01505
M1153_1E_1A,FE01506
M1099_2E_1A,FE01507
M1167_1E_1A,FE01508
C0524_4E_1A,FE01509
C0769_5E_1A,FE01510
C0259_3E_1A,FE01511
C0200_3E_1A,FE01512
M1056_3E_1A,FE01513
M1161_1E_1A,FE01514
M1162_1E_1A,FE01515
M1113_2E_1A,FE01516
M1105_2E_1A,FE01517
C0863_4E_1A,FE01518
M1142_2E_1A,FE01519
M1068_2E_1A,FE01520
M1064_3E_1A,FE01521
C0920_2E_1A,FE01522
M1137_2E_1A,FE01523
M1183_1E_1A,FE01524
C0958_4E_1A,FE01525
C0921_2E_1A,FE01526
M1067_2E_1A,FE01527
C0631_2E_1A,FE01528
C0016_4E_1A,FE01529
C0017_3E_1A,FE01530
M1083_2E_1A,FE01531
C1144_1E_1A,FE01532
M1055_3E_1A,FE01533
M1126_2E_1A,FE01534
M1143_2E_1A,FE01535
M1189_1E_1A,FE01536
M1159_1E_1A,FE01537
M1129_2E_1A,FE01538
M1050_3E_1A,FE01539
M1135_2E_1A,FE01540
C0888_4E_1A,FE01541
M1109_2E_1A,FE01542
M1202_1E_1A,FE01543
M1124_2E_1A,FE01544
M1186_1E_1A,FE01545
M1170_2E_1A,FE01546
M1065_3E_1A,FE01547
M1176_1E_1A,FE01548
M1146_2E_1A,FE01549
M1058_3E_1A,FE01550
M1110_2E_1A,FE01551
M1200_1E_1A,FE01552
M1157_2E_1A,FE01553
M1088_2E_1A,FE01554
M1194_1E_1A,FE01555
M1208_1E_1A,FE01556
M1086_3E_1A,FE01558
M1197_1E_1A,FE01559
M1210_1E_1A,FE01560
M1175_1E_1A,FE01561
M1115_2E_1A,FE01562
M1155_2E_1A,FE01563
M1096_3E_1A,FE01564
M1211_1E_1A,FE01565
C0909_4E_1A,FE01566
M1066_3E_1A,FE01567
M1161_2E_1A,FE01568
C0240_5E_1A,FE01569
C0730_2E_1A,FE01570
M1147_2E_1A,FE01571
C0908_4E_1A,FE01572
M1169_2E_1A,FE01573
M1166_2E_1A,FE01574
M1162_2E_1A,FE01575
M1201_1E_1A,FE01576
M1172_2E_1A,FE01577
M1095_3E_1A,FE01578
M1220_1E_1A,FE01579
M1103_3E_1A,FE01580
C0891_4E_1A,FE01581
C1037_4E_1A,FE01582
C0839_5E_1A,FE01583
C0308_6E_1A,FE01584
C0307_5E_1A,FE01585
C0794_4E_1A,FE01586
M1115_3E_1A,FE01587
M1105_3E_1A,FE01588
M1198_2E_1A,FE01589
M1142_3E_1A,FE01590
M1200_2E_1A,FE01591
M1195_2E_1A,FE01592
M1150_2E_1A,FE01593
C0767_2E_1A,FE01594
M1180_2E_1A,FE01595
C1217_1E_1A,FE01596
C0723_4E_1A,FE01597
M1159_2E_1A,FE01598
C1228_1E_1A,FE01599
M1129_3E_1A,FE01600
M1227_1E_1A,FE01601
M1177_2E_1A,FE01602
M1176_2E_1A,FE01603
M1199_2E_1A,FE01604
M1183_2E_1A,FE01605
M1226_1E_1A,FE01606
C0754_4E_1A,FE01607
M1126_3E_1A,FE01608
M1137_3E_1A,FE01609
M1205_2E_1A,FE01610
C0567_3E_1A,FE01611
M1170_3E_1A,FE01612
C0861_2E_1A,FE01613
M1139_3E_1A,FE01614
M1188_2E_1A,FE01615
C0511_3E_1A,FE01616
M1162_3E_1A,FE01617
M1143_3E_1A,FE01618
M1213_2E_1A,FE01619
C1238_1E_1A,FE01620
C1243_1E_1A,FE01621
M1148_3E_1A,FE01622
C1223_1E_1A,FE01623
C0174_3E_1A,FE01624
C0158_6E_1A,FE01625
C0157_6E_1A,FE01626
M1247_1E_1A,FE01627
C0864_5E_1A,FE01628
C0961_4E_1A,FE01629
M1186_2E_1A,FE01630
C1007_3E_1A,FE01631
C0557_2E_1A,FE01632
M1234_1E_1A,FE01633
C0788_3E_1A,FE01635
C0789_3E_1A,FE01636
M1155_3E_1A,FE01637
M1159_3E_1A,FE01638
M1109_3E_1A,FE01639
C0061_8E_1A,FE01640
C0062_8E_1A,FE01641
C0556_3E_1A,FE01642
C0190_3E_1A,FE01643
C0191_3E_1A,FE01644
C0271_5E_1A,FE01645
C1059_3E_1A,FE01646
C0390_2E_1A,FE01647
M1221_2E_1A,FE01648
M1252_1E_1A,FE01649
C0071_8E_1A,FE01650
M1147_3E_1A,FE01651
C0784_2E_1A,FE01652
M1207_2E_1A,FE01653
M1220_2E_1A,FE01654
C0886_4E_1A,FE01655
C0564_2E_1A,FE01656
C1068_3E_1A,FE01657
M1245_1E_1A,FE01658
C0915_4E_1A,FE01659
C0932_4E_1A,FE01660
M1246_1E_1A,FE01661
M1180_3E_1A,FE01662
C0477_5E_1A,FE01663
M1216_2E_1A,FE01664
M1179_3E_1A,FE01665
M1232_1E_1A,FE01666
C0550_4E_1A,FE01667
M1181_3E_1A,FE01668
M1211_2E_1A,FE01669
M1261_1E_1A,FE01670
C1008_4E_1A,FE01671
M1240_1E_1A,FE01672
C0914_5E_1A,FE01673
M1195_3E_1A,FE01674
M0974_1E_1A,FE01675
M1200_3E_1A,FE01676
C0753_4E_1A,FE01677
C0603_6E_1A,FE01678
C0127_8E_1A,FE01680
C0904_5E_1A,FE01681
M1229_2E_1A,FE01682
C0612_2E_1A,FE01683
M1218_2E_1A,FE01684
M1219_2E_1A,FE01685
C0536_1E_1A,FE01686
M1263_1E_1A,FE01687
M1268_1E_1A,FE01688
C0665_2E_1A,FE01689
M1237_2E_1A,FE01690
C1087_3E_1A,FE01691
C0676_3E_1A,FE01692
M1254_2E_1A,FE01693
C0029_6E_1A,FE01694
C0535_2E_1A,FE01695
M1205_3E_1A,FE01696
M1274_1E_1A,FE01697
M1276_1E_1A,FE01698
C1099_3E_1A,FE01699
C1060_3E_1A,FE01700
C1090_2E_1A,FE01701
C1160_3E_1A,FE01702
C0443_4E_1A,FE01703
C0830_2E_1A,FE01704
C0124_4E_1A,FE01705
M1287_1E_1A,FE01706
M1186_3E_1A,FE01707
C0323_3E_1A,FE01708
C0324_3E_1A,FE01709
C0055_3E_1A,FE01710
M1211_3E_1A,FE01711
M1226_2E_1A,FE01712
M1234_2E_1A,FE01713
M1176_3E_1A,FE01715
C0047_8E_1A,FE01716
C1015_3E_1A,FE01717
M1273_1E_1A,FE01718
M1202_3E_1A,FE01719
M1232_2E_1A,FE01720
C0312_8E_1A,FE01721
C0161_7E_1A,FE01722
M1240_2E_1A,FE01723
M1208_3E_1A,FE01724
M1177_3E_1A,FE01726
C2018_5E_1A,FE01727
C0248_3E_1A,FE01728
M1221_3E_1A,FE01729
M1234_3E_1A,FE01730
C0385_5E_1A,FE01732
M1271_1E_1A,FE01733
M1281_1E_1A,FE01734
C0231_3E_1A,FE01735
C0724_2E_1A,FE01736
C0725_2E_1A,FE01737
M0974_2E_1A,FE01738
M1207_3E_1A,FE01739
M1247_2E_1A,FE01740
C0405_7E_1A,FE01741
C0897_2E_1A,FE01742
M1275_1E_1A,FE01743
C0946_5E_1A,FE01744
C0742_5E_1A,FE01745
M1245_2E_1A,FE01746
M1262_2E_1A,FE01747
M1226_3E_1A,FE01748
C0792_4E_1A,FE01749
C0146_7E_1A,FE01750
M1279_1E_1A,FE01751
C1061_4E_1A,FE01752
M1266_2E_1A,FE01753
C0470_3E_1A,FE01754
M1229_3E_1A,FE01755
C0768_2E_1A,FE01756
C0785_2E_1A,FE01757
C0958_5E_1A,FE01758
C0932_7E_1A,FE01759
C0110_8E_1A,FE01760
C0111_7E_1A,FE01761
C0996_4E_1A,FE01762
M1300_1E_1A,FE01763
C0476_5E_1A,FE01764
M1272_2E_1A,FE01765
M1295_1E_1A,FE01766
C0479_5E_1A,FE01767
C0742_5E_2A,FE01768
M1232_3E_1A,FE01769
C0774_4E_1A,FE01770
C0711_6E_1A,FE01771
M1246_3E_1A,FE01772
C0744_6E_1A,FE01773
M1254_3E_1A,FE01774
M1271_2E_1A,FE01775
M1282_2E_1A,FE01776
M1312_1E_1A,FE01777
M1287_2E_1A,FE01778
C0577_3E_1A,FE01779
C0579_3E_1A,FE01780
C0578_3E_1A,FE01781
C1135_4E_1A,FE01782
C0524_5E_1A,FE01783
M1298_1E_1A,FE01784
M1275_2E_1A,FE01785
C0980_5E_1A,FE01787
M1283_2E_1A,FE01788
M1252_2E_1A,FE01789
C0516_3E_1A,FE01790
M1240_3E_1A,FE01791
M1262_3E_1A,FE01792
M1300_2E_1A,FE01793
M1286_2E_1A,FE01794
M1297_2E_1A,FE01795
C1219_3E_1A,FE01796
M1294_2E_1A,FE01797
M1266_3E_1A,FE01798
M1278_3E_1A,FE01799
C1115_4E_1A,FE01800
C1177_4E_1A,FE01801
M1307_2E_1A,FE01802
M1295_2E_1A,FE01803
C0117_6E_1A,FE01804
C1050_4E_1A,FE01805
M1278_2E_1A,FE01806
M1276_2E_1A,FE01807
C0871_3E_1A,FE01808
M1258_3E_1A,FE01809
C0879_3E_1A,FE01810
M1280_2E_1A,FE01811
C0661_4E_1A,FE01812
M1273_3E_1A,FE01813
M1301_3E_1A,FE01814
M1305_2E_1A,FE01815
C0194_5E_1A,FE01816
M1280_3E_1A,FE01817
C1109_4E_1A,FE01818
M1340_1E_1A,FE01822
M1314_2E_1A,FE01823
C1329_1E_1A,FE01824
C1328_1E_1A,FE01825
M1333_1E_1A,FE01826
C0547_3E_1A,FE01827
M1326_2E_1A,FE01828
C0596_3E_1A,FE01829
C0597_3E_1A,FE01830
M1316_2E_1A,FE01831
M1300_3E_1A,FE01832
M1318_2E_1A,FE01833
M1324_2E_1A,FE01834
C0923_4E_1A,FE01835
C0196_6E_1A,FE01836
C0369_4E_1A,FE01837
M1294_3E_1A,FE01838
C0188_7E_1A,FE01839
C0179_6E_1A,FE01840
C0189_7E_1A,FE01841
C0723_5E_1A,FE01842
C1172_4E_1A,FE01843
M1307_3E_1A,FE01844
M1339_1E_1A,FE01845
C0500_4E_1A,FE01846
C0873_2E_1A,FE01847
C0864_6E_1A,FE01848
C1167_4E_1A,FE01849
M1295_3E_1A,FE01850
M1336_2E_1A,FE01851
C1162_4E_1A,FE01852
M1322_2E_1A,FE01853
C1361_1E_1A,FE01854
M1330_2E_1A,FE01855
C0932_8E_1A,FE01856
C0043_9E_1A,FE01857
C0325_6E_1A,FE01858
C0459_4E_1A,FE01859
M1302_2E_1A,FE01860
M1279_2E_1A,FE01861
M1279_3E_1A,FE01862
M1280_3E_2A,FE01863
C0530_3E_1A,FE01864
C0556_4E_1A,FE01865
M1348_1E_1A,FE01866
C0863_5E_1A,FE01867
C1255_3E_1A,FE01868
M1344_1E_1A,FE01869
M1297_3E_1A,FE01870
M1325_2E_1A,FE01871
C1223_2E_1A,FE01872
C0893_4E_1A,FE01873
C0576_3E_1A,FE01874
C1195_4E_1A,FE01875
C0575_3E_1A,FE01876
M1362_1E_1A,FE01881
M1298_3E_1A,FE01882
C0495_3E_1A,FE01883
M1354_2E_1A,FE01884
C1068_8E_1A,FE01885
M1347_2E_1A,FE01886
M1312_3E_1A,FE01887
M1340_2E_1A,FE01888
M1363_1E_1A,FE01889
M1369_1E_1A,FE01890
M1316_3E_1A,FE01891
M1342_2E_1A,FE01892
C1155_4E_1A,FE01893
M1337_2E_1A,FE01894
C0494_3E_1A,FE01895
C0635_3E_1A,FE01896
C1159_4E_1A,FE01897
C0571_3E_1A,FE01898
M1314_3E_1A,FE01899
M1318_3E_1A,FE01900
M1322_3E_1A,FE01901
M1324_3E_1A,FE01902
C1273_4E_1A,FE01903
M1371_1E_1A,FE01904
C1215_4E_1A,FE01905
C0623_3E_1A,FE01906
C0492_7E_1A,FE01907
C0123_5E_1A,FE01908
C1365_1E_1A,FE01909
C1171_2E_1A,FE01910
M1359_2E_1A,FE01911
C1050_9E_1A,FE01912
M1336_3E_1A,FE01913
M1353_2E_1A,FE01914
M1367_2E_1A,FE01915
M1380_1E_1A,FE01916
M1333_3E_1A,FE01917
M1362_2E_1A,FE01918
C1220_4E_1A,FE01919
C1234_4E_1A,FE01920
C1244_4E_1A,FE01921
C1227_4E_1A,FE01922
C1280_4E_1A,FE01923
C1271_4E_1A,FE01924
C1135_5E_1A,FE01925
C1197_2E_1A,FE01926
C1378_1E_1A,FE01927
C1379_1E_1A,FE01928
C1339_3E_1A,FE01929
M1354_3E_1A,FE01930
M1348_3E_1A,FE01931
C1060_4E_1A,FE01932
C1007_4E_1A,FE01933
C0961_5E_1A,FE01934
C1168_4E_1A,FE01935
M1359_3E_1A,FE01936
C0420_7E_1A,FE01937
M1344_3E_1A,FE01938
C1209_4E_1A,FE01939
C1208_4E_1A,FE01940
M1372_2E_1A,FE01941
M1345_3E_1A,FE01942
C0402_4E_1A,FE01943
C1370_2E_1A,FE01944
M1398_1E_1A,FE01945
M1401_1E_1A,FE01946
C1207_4E_1A,FE01947
C1116_3E_1A,FE01948
M1363_2E_1A,FE01949
M1305_3E_1A,FE01950
M1352_1E_1A,FE01952
M1352_2E_1A,FE01953
M1352_3E_1A,FE01954
M1373_1E_1A,FE01955
M1340_3E_1A,FE01956
M1393_1E_1A,FE01957
C1068_10E_1A,FE01958
M1409_1E_1A,FE01959
M1369_2E_1A,FE01960
M1383_2E_1A,FE01961
M1397_1E_1A,FE01962
C1087_4E_1A,FE01963
C1104_4E_1A,FE01964
M1362_3E_1A,FE01965
C1258_4E_1A,FE01966
M1382_2E_1A,FE01967
M0514_3E_1A,FE01968
M1380_2E_1A,FE01969
C0061_9E_2A,FE01973
C1050_5E_1A,FE01976
C0859_2E_1A,FE01979
C0568_3E_1A,FE01981
C1237_4E_1A,FE01983
M1411_1E_1A,FE01985
C1104_5E_1A,FE01987
C1215_5E_1A,FE01989
C0202_8E_1A,FE01991
M1415_1E_1A,FE01993
C1326_4E_1A,FE01995
C0062_9E_1A,FE01997
C1271_5E_1A,FE01999
C1314_4E_1A,FE02002
C0398_2E_1A,FE02004
C0511_4E_1A,FE02006
C1414_1E_1A,FE02008
C0047_9E_1A,FE02012
C1345_4E_1A,FE02014
M1401_2E_1A,FE02016
C0730_3E_1A,FE02018
C1372_3E_1A,FE02020
C0569_3E_1A,FE02022
C1422_1E_1A,FE02024
C0586_3E_1A,FE02027
C1406_1E_1A,FE02029
C0126_11E_1A,FE02031
C0127_9E_1A,FE02033
C0061_9E_1A,FE02034
M1420_2E_1A,FE02036
C0341_4E_1A,FE02038
C0336_4E_1A,FE02040
C2018_6E_1A,FE02043
C0483_2E_1A,FE02045
C1428_1E_1A,FE02047
C0880_6E_1A,FE02050
C1427_1E_1A,FE02052
C1088_3E_1A,FE02054
M1429_1E_1A,FE02056
